"1. Nắm vững các kiến thức cơ bản về khoa học kinh tế, quản trị kinh doanh và lĩnh vực xã hội nói chung. Nắm vững kiến thức lý thuyết về khoa học thống kê và thống kê ứng dụng trong kinh tế- xã hội (...)","2. Theo quy định của Trường về chuẩn đầu ra ngoại ngữ đối với sinh viên đại học hệ chính quy từ khóa tuyển sinh năm 2014 (40K), sinh viên phải có năng lực tiếng Anh tương đương B1 (....)","3. Ngoài tiếng anh, trường đại học kinh tế chấp nhận tất cả các chứng chỉ ngôn ngữ khác theo quy định chung của bộ giáo dục và đào tạo.","4. Theo quy định chung của bộ giáo dục và đào tạo, trường đại học kinh tế - đại học Đà nẵng chấp nhận bằng N4 đối với tiếng nhật.",5. Sinh viên có điểm trung bình tích lũy 5 kì học giáo dục thể chất đạt 2.0 trở lên thì được cấp chứng chỉ giáo dục thể chất và lấy đó làm điều kiện tốt nghiệp.,6. Sinh viên có chứng chỉ tin học B1 hoặc tương ứng thì đủ điều kiện tốt nghiệp.,7. Hồ sơ đăng ký dự thi đánh giá năng lực ngoại ngữ theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam gồm những gì ?7. Hồ sơ đăng ký dự thi gồm : 02 ảnh cỡ 4cm × 6cm được chụp không quá 06 tháng trước ngày đăng ký dự thi và phiếu đăng ký dự thi đánh giá năng lực ngoại ngữ theo Khung ,"8. Xét tốt nghiệp : Học đủ sổ tín chỉ theo quy định của khối ngành , không còn học phần nợ. - Có đầy đủ các : - Chứng chỉ giáo dục thể chất, giáo dục quốc phòng, ngoại ngữ, tin học ( ....)","9.  Có điểm trung bình chung học kỳ đạt dưới 0,80 đối với kì đầu, dưới 1,00 đối với các học kỳ tiếp theo hoặc đạt dưới 1,10 đối với 2 học kỳ liên tiếp. Bị kỷ luật ở mức xoá tên khỏi danh sách sinh viên của trường, tự ý bỏ học từ một học kỳ chính trở lên không xin phép, không đăng ký hoặc không đăng ký học đủ số tín chỉ tối thiểu quy định. (....)","10. Chậm nhất là một tháng sau khi sinh viên có quyết định buộc thôi học, trường phải thông báo trả về địa phương nơi sinh viên có hộ khẩu thường trú","11. Ngành đào tạo chính ở chương trình thứ hai phải khác ngành đào tạo chính ở chương trình thứ nhất, sau khi đã kết thúc học kỳ thứ nhất năm học đầu tiên của chương trình thứ nhất, sinh viên không thuộc diện xếp hạng học lực yếu ở chương trình thứ nhất.","12. Sinh viên phải làm đơn xin học thêm chương trình thứ hai, gửi Phòng Đào tạo và Công tác sinh viên của trường. Thời điểm nộp đơn chậm nhất là 30 ngày trước khi bắt đầu học kỳ mới.","13. Sinh viên đang học thêm chương trình thứ hai, nếu rơi vào diện bị xếp hạng học lực yếu của chương trình thứ hai, phải dừng học thêm chương trình thứ hai ở học kỳ tiếp theo.","14. Khi học thêm chương trình thứ hai, các chế độ quyền lợi của sinh viên, điểm xét học bổng chỉ được tính đối với chương trình thứ nhất.","15. Sinh viên chỉ được xét tốt nghiệp chương trình thứ hai, nếu có đủ điều kiện tốt nghiệp ở chương trình thứ nhất."
Ngành học của bạn cần đáp ứng những gì ?,Chuẩn đầu ra ngoại ngữ của Trường là B1. Vậy bằng B1 tương ứng với Toiec bao nhiêu và thay thế được bằng B1 không ? ,"Chứng chỉ ngôn ngữ nào trường chấp nhận thay thế bằng B1, ngoài tiếng anh ?",Trường có chấp nhận các bằng tiếng nhật không ?,Yêu cầu tốt nghiệp đối môn học giáo dục thể chất ?,Chứng chỉ tường ứng B1 là những chứng chỉ nào?,Yêu cầu khi dự thi tiếng anh 6 bậc là gì?,Điều kiện đủ để tốt nghiệp,Quy định của nhà trường về học tập,Sau bao lâu khi thôi nhà trường sẽ gửi giấy báo về nhà,Điều kiện đăng kí nghành 2,Làm sao để đăng kí nghành học thứ 2,Điều kiện nào buộc phải dừng học ngành 2,Học bổng đối với ngành 2 như thế nào,Việc xét tốt nghiệp khi đăng kí ngành 2 như thế nào
"Làm sao để năm vững kiến thức về khoa học kinh tế, quản trị kinh doanh và lĩnh vực xã hội ? ",Yêu cầu về chuẩn đầu ra ngoại ngữ của trường ?,Trường có chấp nhận các chứng chỉ ngoại ngữ khác B1 tiếng anh không ?,Yêu cầu của chuẩn đầu ra tiếng Nhật là gì ?,Yêu cầu của chứng chỉ giáo dục thể chất đối với sinh viên khi ra trường là gì ?,Điều kiện đầu ra ngoại ngữ,Hồ sơ đăng ký dự thi chứng chỉ ngoại ngữ gồm những gì?,Những yếu tố cần thiết để xét tốt nghiệp là gì?,Quy định về điểm trung bình học kì và quy tắc xử lý là gì?,Thời gian thông báo quyết định đuổi học về địa phương ?,Sau khi nhận bằng tốt nghiệp ngành 1 có được học ngành 2 hay nữa không? Nếu có thì yêu cầu như thế nào? ,"Muốn đăng ký học ngành 2 , sinh viên cần làm gì?",Quy định của chương trình 2 là gì?,Lợi ích khi học chương trình 2 là gì?,Tiêu chuẩn khi xét chương trình 2 là gì?
Yêu cầu cần thiết của chuẩn đầu ra là gì ?,Sinh viên thi Toeic thì quy đổi ra B1 được hay không ? ,Cá chứng chỉ ngôn ngữ khác đó có yêu cầu bao nhiêu để đạt không ? ,Trường bạn chấp nhận bằng ngoại ngữ như thế nào đối với tiếng Nhật ?,Sinh viên có điểm tích lũy bao nhiêu thì được xét cấp chứng chỉ thể dục ?,Yêu cầu tin học đối với chuẩn đầu ra là gì?,Hồ sơ đăng kí dự thi ngoại ngữ bao gồm những gì? ,Điều kiện xét tốt nghiệp của sinh viên gồm những gì?,Sinh viên bị đuổi học khi bị vi phạm những diều nào?,trường phải thông báo trả về địa phương nơi sinh viên có hộ khẩu thường trú khi nào?,Sự khác biệt và yêu cầu của chương trình 2?,sinh viên cần làm gì sau khi đăng kí chương trình hai?,Sinh viên bị buộc dừng học ngành 2 khi nào?,Các chế đọ quyền lợi của sinh viên được tính như thế nào khi học 2 ngành?,Sinh viên được xét tốt nghiệp chương trình 2 khi nào?
Bạn đã học được những gì từ môi trường đại học ?,Yêu cầu của chuẩn đầu ra tiếng anh là gì ?,"Ngoài tiếng anh, các ngôn ngữ khác có được chấp nhận quy đổi để lấy bằng làm chuẩn đầu ra không ?","Theo quy định chung của bộ giáo dục và đào tạo, trường đại học kinh tế - đại học Đà nẵng có chấp nhận bằng N mấy đối với tiếng nhật ?",Sinh viên có điểm trung bình tích lũy 5 kì học giáo dục thể chất đạt bao nhiêu thì được cấp chứng chỉ thể dục ?,Sinh viên có chứng chỉ tin học như thế nào thì đủ điều kiện ra trường?,Hồ sơ đăng ký thi đánh giá năng lực ngoại ngữ bao gồm những gì?,Xét tốt nghiệp cần điều kiện gì?,sinh viên học lực như thế nào thì bị cảnh cáo hoặc cho nghỉ học?,"Quyết định buộc thôi học được thông báo cho ai, và thông báo như thế nào?",Khi nào thì sinh viên được quyền đăng ký học ngành 2?,Thủ tục và thời gian đăng ký học chương trình thứ hai như thế nào?,Sinh viên đang học thêm chương trình thứ hai bị đình chỉ khi nào?,"Khi học thêm chương trình thứ hai, điểm xét học bổng chỉ được tính như thế nào?",Sinh viên chỉ được xét tốt nghiệp chương trình thứ hai khi nào?
Nắm vững các kiến thức cơ bản về gì ?,Chuẩn đầu ra ngoại ngữ của trường đại học kinh tế là gì ?,Trường bạn chấp nhận những chứng chỉ ngoại ngữ nào để xét tốt nghiệp ?,Tiếng Nhật có được chấp nhận tại trường ĐH Kinh tế hay không?,Điều kiện để được cấp chứng chỉ giáo dục thể chất là gì ?,Điều kiện tốt nghiệp đối với chứng chỉ tin học? ,Hồ sơ đăng kí dự thi CĐR B1 là gì,Để được xét tốt nghiệp ra trường cần có đủ các điều kiện gì?,Vi phạm như thế nào thì bị xóa tên khỏi danh sách sinh viên của trường?,Khi nào thì trường phải thông báo trả về địa phương nơi sinh viên có hộ khẩu thường trú? ,Điều kiện để được đăng ký học chương trình thứ hai là gì?,Cách thức để đăng ký chương trình hai? ,Nếu đang học chương trình thứ hai mà học lực bị xếp hạng học lực yếu thì có được học tiếp hay hay không?,"Khi học thêm chương trình thứ hai, các chế độ quyền lợi của sinh viên, hay xét học bổng được tính như thế nào?",Điều kiện để xét tốt nghiệp chương trình thứ hai như thế nào ?
Chuẩn đầu ra kiến thức cơ bản của trường là gì ?,"Theo quy định của Trường về chuẩn đầu ra ngoại ngữ đối với sinh viên đại học hệ chính quy từ khóa tuyển sinh năm 2014 (40K), sinh viên phải có năng lực tiếng Anh như thế nào ?","Ngoài tiếng anh, trường đại học kinh tế chấp nhận chứng chỉ ngôn ngữ nào ?",Trường đh kinh tế đh đà nẵng chấp nhận bằng bao nhiêu đối với tiếng nhật ? ,Điều kiện để được cấp chứng chỉ giáo dục thể chất ? ,để tốt nghiệp sinh viên cần chứng chỉ tin học nào,Hồ sơ đăng ký thi B1 ở trường là gì?,Điều kiện để xét tốt nghiệp? ,Điểm số bao nhiêu thì bị kỉ luật? ,Nếu sinh viên bị buộc thôi học có thông báo từ nhà trường về gia đình không?,Ngành đào tạo 2 như thế nào? ,Sinh viên muốn học thêm chương trình thứ 2 cần đăng ký vào thời điểm nào,Sinh viên phải dừng học thêm chương trình thứ 2 ở kỳ tiếp theo khi nào? ,"Khi học thêm chương trình thứ 2, các chế độ quyền lợi của sinh viên được tính đối với chương trình nào? ",Làm sao để được xét tốt nghiệp chương trình thứ 2? 
"Là sinh viên kinh tế, bạn cần nắm những kiến thức gì ? ",Đối với sinh viên chính quy khóa 40 chuẩn ra ngoại ngữ quy định như thế nào ?,"Ngoài tiếng anh, trường ĐH Kinh tế có chấp nhận các chứng chỉ ngôn ngữ khác hay không ?",Nếu sinh viên  học tiếng nhật thì trường chấp nhận chứng chỉ nào ?,điều kiện để đạt chứng chỉ giáo dục thể chất của trường là gì ?,sinh viên có chứng chỉ tin học B1 hoặc tương ứng đủ điều kiện tốt nghiệp không,Hồ sơ đăng kí dự thi ngoại ngữ bao gồm những gì? ,Điều kiện xét tốt nghiệp cho sinh viên của trường gồm những gì?,những sinh viên nào bị buộc thôi học ở trường?,thời gian trường thông báo trả về địa phương khi sinh viên có quyết định thôi học là bao lâu,Điều kiện cần để sinh viên  đăng ký học chương trình thứ 2 là gì?,Muốn học thêm ngành 2 thì sinh viên cần cần làm gì ,để tiếp tục học thêm chương trình thứ 2 cần đạt  học lực nào?,Sinh viên học thêm chương trình thứ 2 nếu được học bổng ở cả 2 chương trình thì có nhận được học bổng cho mỗi chương trình không?,Sinh viên muốn xét tốt nghiệp chương trình thứ 2 cần kiền kiện nào?
những kiến thức sinh viên đạt được sau khi tốt nghiệp là ?,Chuẩn đầu ra của trường đối với sinh viên từ khoá tuyển sinh năm 2014 là gì ? ,"Ngoài tiếng anh, trường đh kinh tế có chấp nhận các chứng chỉ ngôn ngữ khác ? ",Về chuẩn đầu ra ngoại ngữ nhà trường có chấp nhận bằng N4 - tiếng Nhật đối với chuyên ngành kinh tế đầu tư không ?,Điều kiện để cấp chứng chỉ giáo dục thể chất là gì ?,Quy định chuẩn đầu ra về tin học là gì?,Hồ sơ đăng ký dự thi đánh giá năng lực ngoại ngữ theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam gồm những gì ?,quy định xét tốt nghiệp là gì,Khi nào thì sinh viên bị đình chỉ học tập và buộc thôi học,Thời gian thông báo quyết định thôi học?,Điều kiện để đăng kí học ngành 2 là gì,thời gian nộp đơn xin học ngành 2,Khi nào Sinh viên buộc dừng học chương trình 2,quy định học bổng khi học 2 chương trình,Điều kiện để tốt nghiệp chương trình 2 là gì
Khi bạn tốt nghiệp chuyên ngành kinh tế thì cần có năng lực gì ?,Sinh viên tốt nghiệp cần có chứng chỉ tiếng anh tương đương trình độ nào ?,Ngoài tiếng anh nhà trường chấp nhận chứng chỉ ngôn ngữ nào khác không ?,bằng N4 đối với tiếng Nhật có được trường đại học kinh tế chấp nhận không ?,điều kiện tốt nghiệp đối với chứng chỉ GDTC là gì ?,Điều kiện tốt nghiệp đối với tin học văn phòng là gì ,Hồ sơ đăng ký dự thi đánh giá năng lực ngoại ngữ là gì?,Điều kiện xét tốt nghiệp?,những quy định bị kỷ luật là gì,Khi sinh viên bị quyết định thôi học ,quy định học ngành 2,Quy trình đăng ký chương trình học thứ 2?,quy định khi đang học chương trình 2 là gì,Quy định xé học bổng chương trình hai?,điều kiện tốt nghiệp khi học 2 chương trình là gì
kiến thức kinh tế cần nắm của bàn là gì ?,Chuẩn đầu ra ngoại ngữ đối với chuyên ngành kinh tế đầu tư (41K)  là gì ?,Ngoài tiếng anh (B1 hoặc tương đương ) thì đối với chuyên ngành kinh tế đầu tư nhà trường chấp nhận các bằng ngôn ngữ khác nào ( trình độ và bậc cụ thể cho từng ngôn ngữ ) ?,"Ngoài tiếng anh, có sử dụng ngôn ngữ thay thế khác được hay không ?",điều kiện tốt nghiệp đối với chứng chỉ giáo dục thể chất là gì ?,Sinh viên cần có chứng chỉ tin học gì để đủ điều kiện tốt nghiệp?,Hồ sơ dự thi đánh giá năng lực ngoại ngữ cần những gì?,Điều kiện để được xét tốt nghiệp ,Quy định về đình chỉ học tập?,Thời gian trường phải thông báo trả về địa phương nơi sinh viên có hộ khẩu thường trú là bao lâu ?,Điều kiện đăng ký ngành học thứ 2?,Thủ tục khi sinh viên đăng kí học chuyên ngành 2,Khi nào thì bị dừng học chương trình hai?,"Khi học thêm chương trình thứ hai, các chế độ quyền lợi của sinh viên, điểm xét học bổng sẽ tính theo chương trình nào ?",Nếu ko có đủ đk xét tn ct thứ nhất có được xét tốt nghiệp chương trình thứ 2 hay không?
